month,year,line,total_passenger,avg_daily_passenger,avg_daily_work_passenger,avg_daily_day_off_passenger
February,2560,Purple_Line,"611,029","21,822","25,410","14,248"
March,2560,Purple_Line,"719,225","23,201","25,447","16,741"
April,2560,Purple_Line,"631,343","21,045","25,678","15,750"
May,2560,Purple_Line,"748,456","24,144","28,127","16,901"
June,2560,Purple_Line,"817,301","27,243","30,217","19,066"
July,2560,Purple_Line,"823,504","26,565","31,501","18,749"
August,2560,Purple_Line,"1,331,334","42,946","47,655","31,436"
September,2560,Purple_Line,"1,407,258","46,909","52,322","34,278"
October,2560,Purple_Line,"1,376,904","45,897","53,861","32,140"
November,2560,Purple_Line,"1,395,555","46,519","52,042","31,330"
December,2560,Purple_Line,"1,249,626","40,311","48,421","27,470"
January,2561,Purple_Line,"1,325,182","42,748","50,011","27,495"
February,2561,Purple_Line,"1,266,376","45,228","51,381","29,846"
March,2561,Purple_Line,"1,395,112","45,004","51,731","30,877"
April,2561,Purple_Line,"1,224,975","40,833","51,597","26,756"
May,2561,Purple_Line,"1,396,565","45,050","53,101","30,412"
June,2561,Purple_Line,"1,498,926","49,964","57,088","33,341"
July,2561,Purple_Line,"1,507,014","48,613","58,741","30,199"
August,2561,Purple_Line,"1,680,922","54,223","62,892","33,034"
September,2561,Purple_Line,"1,603,576","53,453","62,352","35,653"
October,2561,Purple_Line,"1,590,420","51,304","60,299","32,414"
November,2561,Purple_Line,"1,652,091","55,070","62,003","36,004"
December,2561,Purple_Line,"1,483,635","47,859","58,140","33,624"
January,2562,Purple_Line,"1,591,763","51,347","59,159","32,252"
February,2562,Purple_Line,"1,443,333","51,548","60,349","32,967"
March,2562,Purple_Line,"1,664,735","53,701","61,262","37,284"
April,2562,Purple_Line,"1,458,908","48,630","61,016","30,052"
May,2562,Purple_Line,"1,530,913","52,790","62,586","34,177"
June,2562,Purple_Line,"1,675,410","55,847","67,272","36,112"
July,2562,Purple_Line,"1,745,717","56,313","67,705","35,601"
August,2562,Purple_Line,"1,809,166","58,360","68,989","36,039"
September,2562,Purple_Line,"1,743,133","58,104","67,377","36,468"
October,2562,Purple_Line,"1,729,692","55,797","65,407","35,614"
November,2562,Purple_Line,"1,755,398","58,513","67,547","42,910"
December,2562,Purple_Line,"1,574,699","52,490","65,266","35,783"
January,2563,Purple_Line,"1,827,785","58,961","67,781","37,401"
February,2563,Purple_Line,"1,664,132","57,384","68,406","36,442"
March,2563,Purple_Line,"1,227,632","39,601","47,436","20,450"
April,2563,Purple_Line,"439,198","14,640","18,001","6,797"
May,2563,Purple_Line,"674,483","21,758","28,009","14,167"
June,2563,Purple_Line,"1,094,334","36,478","41,688","24,320"
July,2563,Purple_Line,"1,442,882","46,545","57,069","29,882"
August,2563,Purple_Line,"1,643,622","53,020","63,799","33,422"
September,2563,Purple_Line,"1,754,362","58,479","70,104","35,228"
October,2563,Purple_Line,"1,759,392","56,755","69,885","32,882"
November,2563,Purple_Line,"1,745,557","58,185","68,739","39,956"
December,2563,Purple_Line,"1,563,252","50,427","60,659","31,825"
January,2564,Purple_Line,"874,003","28,194","34,487","16,750"
February,2564,Purple_Line,"1,081,904","38,639","45,915","25,543"
March,2564,Purple_Line,"1,519,467","49,015","55,731","29,707"
April,2564,Purple_Line,"793,625","26,454","34,035","16,541"
May,2564,Purple_Line,"521,799","16,832","21,761","10,848"
June,2564,Purple_Line,"677,959","22,599","26,239","14,104"
July,2564,Purple_Line,"466,159","15,037","18,583","8,590"
August,2564,Purple_Line,"379,297","12,235","14,893","6,655"
September,2564,Purple_Line,"571,916","19,064","21,269","13,918"
October,2564,Purple_Line,"786,150","25,360","29,789","19,227"
November,2564,Purple_Line,"1,029,934","34,331","38,315","23,376"
December,2564,Purple_Line,"1,139,649","36,763","42,899","25,607"
January,2565,Purple_Line,"949,885","30,641","36,093","20,729"
February,2565,Purple_Line,"980,551","35,020","40,477","23,499"
March,2565,Purple_Line,"1,013,287","32,684","36,292","22,313"
April,2565,Purple_Line,"903,899","30,130","37,815","20,080"
May,2565,Purple_Line,"1,198,303","38,655","47,597","26,274"
June,2565,Purple_Line,"1,460,459","48,682","56,948","29,394"
July,2565,Purple_Line,"1,399,784","45,154","58,720","30,684"
August,2565,Purple_Line,"1,608,598","51,890","60,880","29,917"
September,2565,Purple_Line,"1,682,405","56,080","64,567","32,742"
